Type,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
W,W44X335,F,335.00,98.50,44.00,44.00,0.00,0.00,0.00,15.90,16.00,0.00,0.00,0.00,1.03,1.00,0.50,1.77,1.75,0.00,0.00,0.00,2.56,2.63,1.31,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,38.00,0.00,0.00,31100.00,1620.00,1410.00,17.80,1200.00,236.00,150.00,3.49,0.00,0.00,0.00,74.70,535000.00,0.00,168.00,1180.00,0.00,0.00,278.00,805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24,42.20,132.00,148.00
W,W44X290,F,290.00,85.40,43.60,43.63,0.00,0.00,0.00,15.80,15.88,0.00,0.00,0.00,0.87,0.88,0.44,1.58,1.56,0.00,0.00,0.00,2.36,2.44,1.25,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,45.00,0.00,0.00,27000.00,1410.00,1240.00,17.80,1040.00,205.00,132.00,3.49,0.00,0.00,0.00,50.90,461000.00,0.00,166.00,1040.00,0.00,0.00,248.00,701.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,42.00,131.00,147.00
W,W44X262,F,262.00,77.20,43.30,43.25,0.00,0.00,0.00,15.80,15.75,0.00,0.00,0.00,0.79,0.81,0.44,1.42,1.44,0.00,0.00,0.00,2.20,2.25,1.19,0.00,0.00,0.00,0.00,0.00,5.57,0.00,0.00,49.60,0.00,0.00,24100.00,1270.00,1110.00,17.70,923.00,182.00,117.00,3.47,0.00,0.00,0.00,37.30,405000.00,0.00,165.00,928.00,0.00,0.00,223.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,41.90,131.00,147.00
W,W44X230,F,230.00,67.80,42.90,42.88,0.00,0.00,0.00,15.80,15.75,0.00,0.00,0.00,0.71,0.69,0.38,1.22,1.25,0.00,0.00,0.00,2.01,2.06,1.19,0.00,0.00,0.00,0.00,0.00,6.45,0.00,0.00,54.80,0.00,0.00,20800.00,1100.00,971.00,17.50,796.00,157.00,101.00,3.43,0.00,0.00,0.00,24.90,346000.00,0.00,165.00,793.00,0.00,0.00,192.00,547.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.13,41.70,130.00,146.00
W,W40X593,T,593.00,174.00,43.00,43.00,0.00,0.00,0.00,16.70,16.75,0.00,0.00,0.00,1.79,1.81,0.94,3.23,3.25,0.00,0.00,0.00,4.41,4.50,2.13,0.00,0.00,0.00,0.00,0.00,2.58,0.00,0.00,19.10,0.00,0.00,50400.00,2760.00,2340.00,17.00,2520.00,481.00,302.00,3.80,0.00,0.00,0.00,445.00,997000.00,0.00,166.00,2240.00,0.00,0.00,479.00,1370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.63,39.80,130.00,147.00
W,W40X503,T,503.00,148.00,42.10,42.00,0.00,0.00,0.00,16.40,16.38,0.00,0.00,0.00,1.54,1.56,0.81,2.76,2.75,0.00,0.00,0.00,3.94,4.00,2.00,0.00,0.00,0.00,0.00,0.00,2.98,0.00,0.00,22.30,0.00,0.00,41600.00,2320.00,1980.00,16.80,2040.00,394.00,249.00,3.72,0.00,0.00,0.00,277.00,789000.00,0.00,161.00,1830.00,0.00,0.00,403.00,1150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,39.30,129.00,145.00
W,W40X431,T,431.00,127.00,41.30,41.25,0.00,0.00,0.00,16.20,16.25,0.00,0.00,0.00,1.34,1.31,0.69,2.36,2.38,0.00,0.00,0.00,3.54,3.63,1.88,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.00,25.50,0.00,0.00,34800.00,1960.00,1690.00,16.60,1690.00,328.00,208.00,3.65,0.00,0.00,0.00,177.00,638000.00,0.00,158.00,1510.00,0.00,0.00,341.00,969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,38.90,127.00,143.00
W,W40X397,T,397.00,117.00,41.00,41.00,0.00,0.00,0.00,16.10,16.13,0.00,0.00,0.00,1.22,1.25,0.63,2.20,2.19,0.00,0.00,0.00,3.38,3.50,1.81,0.00,0.00,0.00,0.00,0.00,3.66,0.00,0.00,28.00,0.00,0.00,32000.00,1800.00,1560.00,16.60,1540.00,300.00,191.00,3.64,0.00,0.00,0.00,142.00,579000.00,0.00,156.00,1380.00,0.00,0.00,318.00,891.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.38,38.80,126.00,142.00
W,W40X372,T,372.00,110.00,40.60,40.63,0.00,0.00,0.00,16.10,16.13,0.00,0.00,0.00,1.16,1.19,0.63,2.05,2.06,0.00,0.00,0.00,3.23,3.31,1.81,0.00,0.00,0.00,0.00,0.00,3.93,0.00,0.00,29.50,0.00,0.00,29600.00,1680.00,1460.00,16.50,1420.00,277.00,177.00,3.60,0.00,0.00,0.00,116.00,528000.00,0.00,155.00,1280.00,0.00,0.00,295.00,829.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,38.60,125.00,141.00
W,W40X362,T,362.00,106.00,40.60,40.50,0.00,0.00,0.00,16.00,16.00,0.00,0.00,0.00,1.12,1.13,0.56,2.01,2.00,0.00,0.00,0.00,3.19,3.25,1.75,0.00,0.00,0.00,0.00,0.00,3.99,0.00,0.00,30.50,0.00,0.00,28900.00,1640.00,1420.00,16.50,1380.00,270.00,173.00,3.60,0.00,0.00,0.00,109.00,513000.00,0.00,154.00,1240.00,0.00,0.00,289.00,808.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,38.60,125.00,141.00
W,W40X324,F,324.00,95.30,40.20,40.13,0.00,0.00,0.00,15.90,15.88,0.00,0.00,0.00,1.00,1.00,0.50,1.81,1.81,0.00,0.00,0.00,2.99,3.06,1.69,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00,34.20,0.00,0.00,25600.00,1460.00,1280.00,16.40,1220.00,239.00,153.00,3.58,0.00,0.00,0.00,79.40,448000.00,0.00,153.00,1100.00,0.00,0.00,259.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,38.40,124.00,140.00
W,W40X297,F,297.00,87.30,39.80,39.88,0.00,0.00,0.00,15.80,15.88,0.00,0.00,0.00,0.93,0.94,0.50,1.65,1.63,0.00,0.00,0.00,2.83,2.94,1.69,0.00,0.00,0.00,0.00,0.00,4.80,0.00,0.00,36.80,0.00,0.00,23200.00,1330.00,1170.00,16.30,1090.00,215.00,138.00,3.54,0.00,0.00,0.00,61.20,399000.00,0.00,151.00,982.00,0.00,0.00,234.00,652.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.22,38.20,123.00,139.00
W,W40X277,F,277.00,81.50,39.70,39.75,0.00,0.00,0.00,15.80,15.88,0.00,0.00,0.00,0.83,0.81,0.44,1.58,1.56,0.00,0.00,0.00,2.76,2.88,1.63,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,41.20,0.00,0.00,21900.00,1250.00,1100.00,16.40,1040.00,204.00,132.00,3.58,0.00,0.00,0.00,51.50,379000.00,0.00,151.00,940.00,0.00,0.00,225.00,614.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,38.10,123.00,139.00
W,W40X249,F,249.00,73.50,39.40,39.38,0.00,0.00,0.00,15.80,15.75,0.00,0.00,0.00,0.75,0.75,0.38,1.42,1.44,0.00,0.00,0.00,2.60,2.69,1.56,0.00,0.00,0.00,0.00,0.00,5.55,0.00,0.00,45.60,0.00,0.00,19600.00,1120.00,993.00,16.30,926.00,182.00,118.00,3.55,0.00,0.00,0.00,38.10,334000.00,0.00,150.00,841.00,0.00,0.00,203.00,551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,38.00,122.00,138.00
W,W40X215,F,215.00,63.50,39.00,39.00,0.00,0.00,0.00,15.80,15.75,0.00,0.00,0.00,0.65,0.63,0.31,1.22,1.25,0.00,0.00,0.00,2.40,2.50,1.56,0.00,0.00,0.00,0.00,0.00,6.45,0.00,0.00,52.60,0.00,0.00,16700.00,964.00,859.00,16.20,803.00,156.00,101.00,3.54,0.00,0.00,0.00,24.80,284000.00,0.00,149.00,719.00,0.00,0.00,175.00,473.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,37.80,122.00,138.00
W,W40X199,F,199.00,58.80,38.70,38.63,0.00,0.00,0.00,15.80,15.75,0.00,0.00,0.00,0.65,0.63,0.31,1.07,1.06,0.00,0.00,0.00,2.25,2.31,1.56,0.00,0.00,0.00,0.00,0.00,7.39,0.00,0.00,52.60,0.00,0.00,14900.00,869.00,770.00,16.00,695.00,137.00,88.20,3.45,0.00,0.00,0.00,18.30,246000.00,0.00,149.00,628.00,0.00,0.00,153.00,427.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,37.60,121.00,137.00
W,W40X392,T,392.00,116.00,41.60,41.63,0.00,0.00,0.00,12.40,12.38,0.00,0.00,0.00,1.42,1.44,0.75,2.52,2.50,0.00,0.00,0.00,3.70,3.81,1.94,0.00,0.00,0.00,0.00,0.00,2.45,0.00,0.00,24.10,0.00,0.00,29900.00,1710.00,1440.00,16.10,803.00,212.00,130.00,2.64,0.00,0.00,0.00,172.00,306000.00,0.00,121.00,946.00,0.00,0.00,270.00,848.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,39.10,116.00,128.00
W,W40X331,T,331.00,97.70,40.80,40.75,0.00,0.00,0.00,12.20,12.13,0.00,0.00,0.00,1.22,1.25,0.63,2.13,2.13,0.00,0.00,0.00,3.31,3.38,1.81,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,28.00,0.00,0.00,24700.00,1430.00,1210.00,15.90,644.00,172.00,106.00,2.57,0.00,0.00,0.00,105.00,241000.00,0.00,118.00,766.00,0.00,0.00,226.00,706.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,38.70,114.00,126.00
W,W40X327,T,327.00,95.90,40.80,40.75,0.00,0.00,0.00,12.10,12.13,0.00,0.00,0.00,1.18,1.19,0.63,2.13,2.13,0.00,0.00,0.00,3.31,3.38,1.81,0.00,0.00,0.00,0.00,0.00,2.85,0.00,0.00,29.00,0.00,0.00,24500.00,1410.00,1200.00,16.00,640.00,170.00,105.00,2.58,0.00,0.00,0.00,103.00,239000.00,0.00,117.00,754.00,0.00,0.00,225.00,695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,38.70,114.00,126.00
W,W40X294,F,294.00,86.20,40.40,40.38,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,1.06,1.06,0.56,1.93,1.94,0.00,0.00,0.00,3.11,3.19,1.75,0.00,0.00,0.00,0.00,0.00,3.11,0.00,0.00,32.20,0.00,0.00,21900.00,1270.00,1080.00,15.90,562.00,150.00,93.50,2.55,0.00,0.00,0.00,76.60,208000.00,0.00,115.00,668.00,0.00,0.00,203.00,622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,38.50,113.00,125.00
W,W40X278,F,278.00,82.30,40.20,40.13,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,1.03,1.00,0.50,1.81,1.81,0.00,0.00,0.00,2.99,3.06,1.75,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,33.30,0.00,0.00,20500.00,1190.00,1020.00,15.80,521.00,140.00,87.10,2.52,0.00,0.00,0.00,65.00,192000.00,0.00,115.00,622.00,0.00,0.00,190.00,587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13,38.40,112.00,124.00
W,W40X264,F,264.00,77.40,40.00,40.00,0.00,0.00,0.00,11.90,11.88,0.00,0.00,0.00,0.96,0.94,0.50,1.73,1.75,0.00,0.00,0.00,2.91,3.00,1.69,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,35.60,0.00,0.00,19400.00,1130.00,971.00,15.80,493.00,132.00,82.60,2.52,0.00,0.00,0.00,56.10,181000.00,0.00,114.00,589.00,0.00,0.00,182.00,555.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,38.30,112.00,124.00
W,W40X235,F,235.00,69.10,39.70,39.75,0.00,0.00,0.00,11.90,11.88,0.00,0.00,0.00,0.83,0.81,0.44,1.58,1.56,0.00,0.00,0.00,2.76,2.88,1.63,0.00,0.00,0.00,0.00,0.00,3.77,0.00,0.00,41.20,0.00,0.00,17400.00,1010.00,875.00,15.90,444.00,118.00,74.60,2.54,0.00,0.00,0.00,41.30,161000.00,0.00,113.00,530.00,0.00,0.00,166.00,495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,38.10,111.00,123.00
W,W40X211,F,211.00,62.10,39.40,39.38,0.00,0.00,0.00,11.80,11.75,0.00,0.00,0.00,0.75,0.75,0.38,1.42,1.44,0.00,0.00,0.00,2.60,2.69,1.56,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,45.60,0.00,0.00,15500.00,906.00,786.00,15.80,390.00,105.00,66.10,2.51,0.00,0.00,0.00,30.40,141000.00,0.00,112.00,468.00,0.00,0.00,148.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,38.00,110.00,122.00
W,W40X183,F,183.00,53.30,39.00,39.00,0.00,0.00,0.00,11.80,11.75,0.00,0.00,0.00,0.65,0.63,0.31,1.20,1.19,0.00,0.00,0.00,2.38,2.50,1.56,0.00,0.00,0.00,0.00,0.00,4.92,0.00,0.00,52.60,0.00,0.00,13200.00,774.00,675.00,15.70,331.00,88.30,56.00,2.49,0.00,0.00,0.00,19.30,118000.00,0.00,112.00,395.00,0.00,0.00,126.00,376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.04,37.80,110.00,122.00
W,W40X167,F,167.00,49.30,38.60,38.63,0.00,0.00,0.00,11.80,11.75,0.00,0.00,0.00,0.65,0.63,0.31,1.03,1.00,0.00,0.00,0.00,2.21,2.31,1.56,0.00,0.00,0.00,0.00,0.00,5.76,0.00,0.00,52.60,0.00,0.00,11600.00,693.00,600.00,15.30,283.00,76.00,47.90,2.40,0.00,0.00,0.00,14.00,99700.00,0.00,111.00,336.00,0.00,0.00,107.00,336.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,37.60,109.00,121.00
W,W40X149,F,149.00,43.80,38.20,38.25,0.00,0.00,0.00,11.80,11.75,0.00,0.00,0.00,0.63,0.63,0.31,0.83,0.81,0.00,0.00,0.00,2.01,2.13,1.50,0.00,0.00,0.00,0.00,0.00,7.11,0.00,0.00,54.30,0.00,0.00,9800.00,598.00,513.00,15.00,229.00,62.20,38.80,2.29,0.00,0.00,0.00,9.36,80000.00,0.00,110.00,270.00,0.00,0.00,86.70,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,37.40,108.00,120.00
W,W36X652,T,652.00,192.00,41.10,41.00,0.00,0.00,0.00,17.60,17.63,0.00,0.00,0.00,1.97,2.00,1.00,3.54,3.56,0.00,0.00,0.00,4.49,4.81,2.19,0.00,0.00,0.00,0.00,0.00,2.48,0.00,0.00,16.30,0.00,0.00,50600.00,2910.00,2460.00,16.20,3230.00,581.00,367.00,4.10,0.00,0.00,0.00,593.00,1130000.00,0.00,165.00,2560.00,0.00,0.00,518.00,1450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.96,37.60,129.00,147.00
W,W36X529,T,529.00,156.00,39.80,39.75,0.00,0.00,0.00,17.20,17.25,0.00,0.00,0.00,1.61,1.63,0.81,2.91,2.94,0.00,0.00,0.00,3.86,4.19,2.00,0.00,0.00,0.00,0.00,0.00,2.96,0.00,0.00,19.90,0.00,0.00,39600.00,2330.00,1990.00,16.00,2490.00,454.00,289.00,4.00,0.00,0.00,0.00,327.00,846000.00,0.00,159.00,1990.00,0.00,0.00,419.00,1160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,36.90,127.00,144.00
W,W36X487,T,487.00,143.00,39.30,39.38,0.00,0.00,0.00,17.10,17.13,0.00,0.00,0.00,1.50,1.50,0.75,2.68,2.69,0.00,0.00,0.00,3.63,4.00,1.88,0.00,0.00,0.00,0.00,0.00,3.19,0.00,0.00,21.40,0.00,0.00,36000.00,2130.00,1830.00,15.80,2250.00,412.00,263.00,3.96,0.00,0.00,0.00,258.00,754000.00,0.00,157.00,1800.00,0.00,0.00,383.00,1060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,36.60,125.00,142.00
W,W36X441,T,441.00,130.00,38.90,38.88,0.00,0.00,0.00,17.00,17.00,0.00,0.00,0.00,1.36,1.38,0.69,2.44,2.44,0.00,0.00,0.00,3.39,3.75,1.88,0.00,0.00,0.00,0.00,0.00,3.48,0.00,0.00,23.60,0.00,0.00,32100.00,1910.00,1650.00,15.70,1990.00,368.00,235.00,3.92,0.00,0.00,0.00,194.00,661000.00,0.00,154.00,1600.00,0.00,0.00,347.00,950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,36.50,124.00,141.00
W,W36X395,T,395.00,116.00,38.40,38.38,0.00,0.00,0.00,16.80,16.88,0.00,0.00,0.00,1.22,1.25,0.63,2.20,2.19,0.00,0.00,0.00,3.15,3.44,1.81,0.00,0.00,0.00,0.00,0.00,3.83,0.00,0.00,26.30,0.00,0.00,28500.00,1710.00,1490.00,15.70,1750.00,325.00,208.00,3.88,0.00,0.00,0.00,142.00,575000.00,0.00,152.00,1410.00,0.00,0.00,311.00,847.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.61,36.20,123.00,140.00
W,W36X361,T,361.00,106.00,38.00,38.00,0.00,0.00,0.00,16.70,16.75,0.00,0.00,0.00,1.12,1.13,0.56,2.01,2.00,0.00,0.00,0.00,2.96,3.31,1.75,0.00,0.00,0.00,0.00,0.00,4.16,0.00,0.00,28.60,0.00,0.00,25700.00,1550.00,1350.00,15.60,1570.00,293.00,188.00,3.85,0.00,0.00,0.00,109.00,509000.00,0.00,150.00,1270.00,0.00,0.00,282.00,767.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.58,36.00,122.00,139.00
W,W36X330,F,330.00,96.90,37.70,37.63,0.00,0.00,0.00,16.60,16.63,0.00,0.00,0.00,1.02,1.00,0.50,1.85,1.88,0.00,0.00,0.00,2.80,3.13,1.75,0.00,0.00,0.00,0.00,0.00,4.49,0.00,0.00,31.40,0.00,0.00,23300.00,1410.00,1240.00,15.50,1420.00,265.00,171.00,3.83,0.00,0.00,0.00,84.30,456000.00,0.00,149.00,1150.00,0.00,0.00,259.00,698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,35.90,121.00,138.00
W,W36X302,F,302.00,89.00,37.30,37.38,0.00,0.00,0.00,16.70,16.63,0.00,0.00,0.00,0.95,0.94,0.50,1.68,1.69,0.00,0.00,0.00,2.63,3.00,1.69,0.00,0.00,0.00,0.00,0.00,4.96,0.00,0.00,33.90,0.00,0.00,21100.00,1280.00,1130.00,15.40,1300.00,241.00,156.00,3.82,0.00,0.00,0.00,64.30,412000.00,0.00,148.00,1040.00,0.00,0.00,235.00,635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,35.60,121.00,138.00
W,W36X282,F,282.00,82.90,37.10,37.13,0.00,0.00,0.00,16.60,16.63,0.00,0.00,0.00,0.89,0.88,0.44,1.57,1.56,0.00,0.00,0.00,2.52,2.88,1.63,0.00,0.00,0.00,0.00,0.00,5.29,0.00,0.00,36.20,0.00,0.00,19600.00,1190.00,1050.00,15.40,1200.00,223.00,144.00,3.80,0.00,0.00,0.00,52.70,378000.00,0.00,147.00,960.00,0.00,0.00,219.00,591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,35.50,120.00,137.00
W,W36X262,F,262.00,77.20,36.90,36.88,0.00,0.00,0.00,16.60,16.50,0.00,0.00,0.00,0.84,0.81,0.44,1.44,1.44,0.00,0.00,0.00,2.39,2.75,1.63,0.00,0.00,0.00,0.00,0.00,5.75,0.00,0.00,38.20,0.00,0.00,17900.00,1100.00,972.00,15.30,1090.00,204.00,132.00,3.76,0.00,0.00,0.00,41.60,342000.00,0.00,147.00,873.00,0.00,0.00,200.00,543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.46,35.50,120.00,137.00
W,W36X247,F,247.00,72.50,36.70,36.63,0.00,0.00,0.00,16.50,16.50,0.00,0.00,0.00,0.80,0.81,0.44,1.35,1.38,0.00,0.00,0.00,2.30,2.63,1.63,0.00,0.00,0.00,0.00,0.00,6.11,0.00,0.00,40.10,0.00,0.00,16700.00,1030.00,913.00,15.20,1010.00,190.00,123.00,3.74,0.00,0.00,0.00,34.70,316000.00,0.00,146.00,812.00,0.00,0.00,187.00,509.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.42,35.40,120.00,136.00
W,W36X231,F,231.00,68.20,36.50,36.50,0.00,0.00,0.00,16.50,16.50,0.00,0.00,0.00,0.76,0.75,0.38,1.26,1.25,0.00,0.00,0.00,2.21,2.56,1.56,0.00,0.00,0.00,0.00,0.00,6.54,0.00,0.00,42.20,0.00,0.00,15600.00,963.00,854.00,15.10,940.00,176.00,114.00,3.71,0.00,0.00,0.00,28.70,292000.00,0.00,145.00,756.00,0.00,0.00,175.00,476.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,35.20,120.00,136.00
W,W36X256,F,256.00,75.30,37.40,37.38,0.00,0.00,0.00,12.20,12.25,0.00,0.00,0.00,0.96,0.94,0.50,1.73,1.75,0.00,0.00,0.00,2.48,2.63,1.31,0.00,0.00,0.00,0.00,0.00,3.53,0.00,0.00,33.80,0.00,0.00,16800.00,1040.00,895.00,14.90,528.00,137.00,86.50,2.65,0.00,0.00,0.00,52.90,168000.00,0.00,109.00,576.00,0.00,0.00,174.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,35.70,108.00,120.00
W,W36X232,F,232.00,68.00,37.10,37.13,0.00,0.00,0.00,12.10,12.13,0.00,0.00,0.00,0.87,0.88,0.44,1.57,1.56,0.00,0.00,0.00,2.32,2.44,1.25,0.00,0.00,0.00,0.00,0.00,3.86,0.00,0.00,37.30,0.00,0.00,15000.00,936.00,809.00,14.80,468.00,122.00,77.20,2.62,0.00,0.00,0.00,39.60,148000.00,0.00,108.00,512.00,0.00,0.00,157.00,464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,35.50,108.00,120.00
W,W36X210,F,210.00,61.90,36.70,36.75,0.00,0.00,0.00,12.20,12.13,0.00,0.00,0.00,0.83,0.81,0.44,1.36,1.38,0.00,0.00,0.00,2.11,2.31,1.25,0.00,0.00,0.00,0.00,0.00,4.48,0.00,0.00,39.10,0.00,0.00,13200.00,833.00,719.00,14.60,411.00,107.00,67.50,2.58,0.00,0.00,0.00,28.00,128000.00,0.00,108.00,446.00,0.00,0.00,136.00,412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.18,35.30,107.00,119.00
W,W36X194,F,194.00,57.00,36.50,36.50,0.00,0.00,0.00,12.10,12.13,0.00,0.00,0.00,0.77,0.75,0.38,1.26,1.25,0.00,0.00,0.00,2.01,2.19,1.19,0.00,0.00,0.00,0.00,0.00,4.81,0.00,0.00,42.40,0.00,0.00,12100.00,767.00,664.00,14.60,375.00,97.70,61.90,2.56,0.00,0.00,0.00,22.20,116000.00,0.00,107.00,407.00,0.00,0.00,126.00,379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,35.20,107.00,119.00
